   1: UNIQUE_HIDEOUT                                                   : Hideout Construction Kit
4524: T5_JOURNAL_TROPHY_FIBER                                          : Expert Cropper's Trophy Journal (Partially Full)
4525: T6_JOURNAL_TROPHY_FIBER                                          : Master Cropper's Trophy Journal (Partially Full)
4526: T7_JOURNAL_TROPHY_FIBER                                          : Grandmaster Cropper's Trophy Journal (Partially Full)
4527: T8_JOURNAL_TROPHY_FIBER                                          : Elder Cropper's Trophy Journal (Partially Full)
4528: T2_JOURNAL_TROPHY_FISHING                                        : Novice Fisherman's Trophy Journal (Partially Full)
4529: T3_JOURNAL_TROPHY_FISHING                                        : Journeyman Fisherman's Trophy Journal (Partially Full)
4530: T4_JOURNAL_TROPHY_FISHING                                        : Adept Fisherman's Trophy Journal (Partially Full)
4531: T5_JOURNAL_TROPHY_FISHING                                        : Expert Fisherman's Trophy Journal (Partially Full)
4532: T6_JOURNAL_TROPHY_FISHING                                        : Master Fisherman's Trophy Journal (Partially Full)
4533: T7_JOURNAL_TROPHY_FISHING                                        : Grandmaster Fisherman's Trophy Journal (Partially Full)
4534: T8_JOURNAL_TROPHY_FISHING                                        : Elder Fisherman's Trophy Journal (Partially Full)
4535: T2_JOURNAL_FISHING                                               : Novice Fisherman's Journal (Partially Full)
4536: T3_JOURNAL_FISHING                                               : Journeyman Fisherman's Journal (Partially Full)
4537: T4_JOURNAL_FISHING                                               : Adept Fisherman's Journal (Partially Full)
4538: T5_JOURNAL_FISHING                                               : Expert Fisherman's Journal (Partially Full)
4539: T6_JOURNAL_FISHING                                               : Master Fisherman's Journal (Partially Full)
4540: T7_JOURNAL_FISHING                                               : Grandmaster Fisherman's Journal (Partially Full)
4541: T8_JOURNAL_FISHING                                               : Elder Fisherman's Journal (Partially Full)
4542: T2_LABOURER_CONTRACT_WOOD                                        : Novice Lumberjack Contract
4543: T3_LABOURER_CONTRACT_WOOD                                        : Journeyman Lumberjack Contract
4544: T4_LABOURER_CONTRACT_WOOD                                        : Adept Lumberjack Contract
4545: T5_LABOURER_CONTRACT_WOOD                                        : Expert Lumberjack Contract
4546: T6_LABOURER_CONTRACT_WOOD                                        : Master Lumberjack Contract
4547: T7_LABOURER_CONTRACT_WOOD                                        : Grandmaster Lumberjack Contract
4548: T8_LABOURER_CONTRACT_WOOD                                        : Elder Lumberjack Contract
4549: T2_LABOURER_CONTRACT_STONE                                       : Novice Stonecutter Contract
4550: T3_LABOURER_CONTRACT_STONE                                       : Journeyman Stonecutter Contract
4551: T4_LABOURER_CONTRACT_STONE                                       : Adept Stonecutter Contract
4552: T5_LABOURER_CONTRACT_STONE                                       : Expert Stonecutter Contract
4553: T6_LABOURER_CONTRACT_STONE                                       : Master Stonecutter Contract
4554: T7_LABOURER_CONTRACT_STONE                                       : Grandmaster Stonecutter Contract
4555: T8_LABOURER_CONTRACT_STONE                                       : Elder Stonecutter Contract
4556: T2_LABOURER_CONTRACT_FIBER                                       : Novice Cropper Contract
4557: T3_LABOURER_CONTRACT_FIBER                                       : Journeyman Cropper Contract
4558: T4_LABOURER_CONTRACT_FIBER                                       : Adept Cropper Contract
4559: T5_LABOURER_CONTRACT_FIBER                                       : Expert Cropper Contract
4560: T6_LABOURER_CONTRACT_FIBER                                       : Master Cropper Contract
4561: T7_LABOURER_CONTRACT_FIBER                                       : Grandmaster Cropper Contract
4562: T8_LABOURER_CONTRACT_FIBER                                       : Elder Cropper Contract
4563: T2_LABOURER_CONTRACT_HIDE                                        : Novice Gamekeeper Contract
4564: T3_LABOURER_CONTRACT_HIDE                                        : Journeyman Gamekeeper Contract
4565: T4_LABOURER_CONTRACT_HIDE                                        : Adept Gamekeeper Contract
4566: T5_LABOURER_CONTRACT_HIDE                                        : Expert Gamekeeper Contract
4567: T6_LABOURER_CONTRACT_HIDE                                        : Master Gamekeeper Contract
4568: T7_LABOURER_CONTRACT_HIDE                                        : Grandmaster Gamekeeper Contract
4569: T8_LABOURER_CONTRACT_HIDE                                        : Elder Gamekeeper Contract
4570: T2_LABOURER_CONTRACT_ORE                                         : Novice Prospector Contract
4571: T3_LABOURER_CONTRACT_ORE                                         : Journeyman Prospector Contract
4572: T4_LABOURER_CONTRACT_ORE                                         : Adept Prospector Contract
4573: T5_LABOURER_CONTRACT_ORE                                         : Expert Prospector Contract
4574: T6_LABOURER_CONTRACT_ORE                                         : Master Prospector Contract
4575: T7_LABOURER_CONTRACT_ORE                                         : Grandmaster Prospector Contract
4576: T8_LABOURER_CONTRACT_ORE                                         : Elder Prospector Contract
4577: T2_LABOURER_CONTRACT_MERCENARY                                   : Novice Mercenary Contract
4578: T3_LABOURER_CONTRACT_MERCENARY                                   : Journeyman Mercenary Contract
4579: T4_LABOURER_CONTRACT_MERCENARY                                   : Adept Mercenary Contract
4580: T5_LABOURER_CONTRACT_MERCENARY                                   : Expert Mercenary Contract
4581: T6_LABOURER_CONTRACT_MERCENARY                                   : Master Mercenary Contract
4582: T7_LABOURER_CONTRACT_MERCENARY                                   : Grandmaster Mercenary Contract
4583: T8_LABOURER_CONTRACT_MERCENARY                                   : Elder Mercenary Contract
4584: T2_LABOURER_CONTRACT_FISHERMAN                                   : Novice Fisherman Contract
4585: T3_LABOURER_CONTRACT_FISHERMAN                                   : Journeyman Fisherman Contract
4586: T4_LABOURER_CONTRACT_FISHERMAN                                   : Adept Fisherman Contract
4587: T5_LABOURER_CONTRACT_FISHERMAN                                   : Expert Fisherman Contract
4588: T6_LABOURER_CONTRACT_FISHERMAN                                   : Master Fisherman Contract
4589: T7_LABOURER_CONTRACT_FISHERMAN                                   : Grandmaster Fisherman Contract
4590: T8_LABOURER_CONTRACT_FISHERMAN                                   : Elder Fisherman Contract
4591: T2_LABOURER_CONTRACT_HUNTER                                      : Novice Fletcher Contract
4592: T3_LABOURER_CONTRACT_HUNTER                                      : Journeyman Fletcher Contract
4593: T4_LABOURER_CONTRACT_HUNTER                                      : Adept Fletcher Contract
4594: T5_LABOURER_CONTRACT_HUNTER                                      : Expert Fletcher Contract
4595: T6_LABOURER_CONTRACT_HUNTER                                      : Master Fletcher Contract
4596: T7_LABOURER_CONTRACT_HUNTER                                      : Grandmaster Fletcher Contract
4597: T8_LABOURER_CONTRACT_HUNTER                                      : Elder Fletcher Contract
4598: T2_LABOURER_CONTRACT_MAGE                                        : Novice Imbuer Contract
4599: T3_LABOURER_CONTRACT_MAGE                                        : Journeyman Imbuer Contract
4600: T4_LABOURER_CONTRACT_MAGE                                        : Adept Imbuer Contract
4601: T5_LABOURER_CONTRACT_MAGE                                        : Expert Imbuer Contract
4602: T6_LABOURER_CONTRACT_MAGE                                        : Master Imbuer Contract
4603: T7_LABOURER_CONTRACT_MAGE                                        : Grandmaster Imbuer Contract
4604: T8_LABOURER_CONTRACT_MAGE                                        : Elder Imbuer Contract
4605: T2_LABOURER_CONTRACT_WARRIOR                                     : Novice Blacksmith Contract
4606: T3_LABOURER_CONTRACT_WARRIOR                                     : Journeyman Blacksmith Contract
4607: T4_LABOURER_CONTRACT_WARRIOR                                     : Adept Blacksmith Contract
4608: T5_LABOURER_CONTRACT_WARRIOR                                     : Expert Blacksmith Contract
4609: T6_LABOURER_CONTRACT_WARRIOR                                     : Master Blacksmith Contract
4610: T7_LABOURER_CONTRACT_WARRIOR                                     : Grandmaster Blacksmith Contract
4611: T8_LABOURER_CONTRACT_WARRIOR                                     : Elder Blacksmith Contract
4612: T2_LABOURER_CONTRACT_TOOLMAKER                                   : Novice Tinker Contract
4613: T3_LABOURER_CONTRACT_TOOLMAKER                                   : Journeyman Tinker Contract
4614: T4_LABOURER_CONTRACT_TOOLMAKER                                   : Adept Tinker Contract
4615: T5_LABOURER_CONTRACT_TOOLMAKER                                   : Expert Tinker Contract
4616: T6_LABOURER_CONTRACT_TOOLMAKER                                   : Master Tinker Contract
4617: T7_LABOURER_CONTRACT_TOOLMAKER                                   : Grandmaster Tinker Contract
4618: T8_LABOURER_CONTRACT_TOOLMAKER                                   : Elder Tinker Contract
4619: T2_2H_BOW                                                        : Novice's Bow
4620: T3_2H_BOW                                                        : Journeyman's Bow
4621: T4_2H_BOW                                                        : Adept's Bow
4622: T4_2H_BOW@1                                                      : Adept's Bow
4623: T4_2H_BOW@2                                                      : Adept's Bow
4624: T4_2H_BOW@3                                                      : Adept's Bow
4625: T5_2H_BOW                                                        : Expert's Bow
4626: T5_2H_BOW@1                                                      : Expert's Bow
4627: T5_2H_BOW@2                                                      : Expert's Bow
4628: T5_2H_BOW@3                                                      : Expert's Bow
4629: T6_2H_BOW                                                        : Master's Bow
4630: T6_2H_BOW@1                                                      : Master's Bow
4631: T6_2H_BOW@2                                                      : Master's Bow
4632: T6_2H_BOW@3                                                      : Master's Bow
4633: T7_2H_BOW                                                        : Grandmaster's Bow
4634: T7_2H_BOW@1                                                      : Grandmaster's Bow
4635: T7_2H_BOW@2                                                      : Grandmaster's Bow
4636: T7_2H_BOW@3                                                      : Grandmaster's Bow
4637: T8_2H_BOW                                                        : Elder's Bow
4638: T8_2H_BOW@1                                                      : Elder's Bow
4639: T8_2H_BOW@2                                                      : Elder's Bow
4640: T8_2H_BOW@3                                                      : Elder's Bow
4641: T4_2H_WARBOW                                                     : Adept's Warbow
4642: T4_2H_WARBOW@1                                                   : Adept's Warbow
4643: T4_2H_WARBOW@2                                                   : Adept's Warbow
4644: T4_2H_WARBOW@3                                                   : Adept's Warbow
4645: T5_2H_WARBOW                                                     : Expert's Warbow
4646: T5_2H_WARBOW@1                                                   : Expert's Warbow
4647: T5_2H_WARBOW@2                                                   : Expert's Warbow
4648: T5_2H_WARBOW@3                                                   : Expert's Warbow
4649: T6_2H_WARBOW                                                     : Master's Warbow
4650: T6_2H_WARBOW@1                                                   : Master's Warbow
4651: T6_2H_WARBOW@2                                                   : Master's Warbow
4652: T6_2H_WARBOW@3                                                   : Master's Warbow
4653: T7_2H_WARBOW                                                     : Grandmaster's Warbow
4654: T7_2H_WARBOW@1                                                   : Grandmaster's Warbow
4655: T7_2H_WARBOW@2                                                   : Grandmaster's Warbow
4656: T7_2H_WARBOW@3                                                   : Grandmaster's Warbow
4657: T8_2H_WARBOW                                                     : Elder's Warbow
4658: T8_2H_WARBOW@1                                                   : Elder's Warbow
4659: T8_2H_WARBOW@2                                                   : Elder's Warbow
4660: T8_2H_WARBOW@3                                                   : Elder's Warbow
4661: T4_2H_LONGBOW                                                    : Adept's Longbow
4662: T4_2H_LONGBOW@1                                                  : Adept's Longbow
4663: T4_2H_LONGBOW@2                                                  : Adept's Longbow
4664: T4_2H_LONGBOW@3                                                  : Adept's Longbow
4665: T5_2H_LONGBOW                                                    : Expert's Longbow
4666: T5_2H_LONGBOW@1                                                  : Expert's Longbow
4667: T5_2H_LONGBOW@2                                                  : Expert's Longbow
4668: T5_2H_LONGBOW@3                                                  : Expert's Longbow
4669: T6_2H_LONGBOW                                                    : Master's Longbow
4670: T6_2H_LONGBOW@1                                                  : Master's Longbow
4671: T6_2H_LONGBOW@2                                                  : Master's Longbow
4672: T6_2H_LONGBOW@3                                                  : Master's Longbow
4673: T7_2H_LONGBOW                                                    : Grandmaster's Longbow
4674: T7_2H_LONGBOW@1                                                  : Grandmaster's Longbow
4675: T7_2H_LONGBOW@2                                                  : Grandmaster's Longbow
4676: T7_2H_LONGBOW@3                                                  : Grandmaster's Longbow
4677: T8_2H_LONGBOW                                                    : Elder's Longbow
4678: T8_2H_LONGBOW@1                                                  : Elder's Longbow
4679: T8_2H_LONGBOW@2                                                  : Elder's Longbow
4680: T8_2H_LONGBOW@3                                                  : Elder's Longbow
4681: T4_2H_LONGBOW_UNDEAD                                             : Adept's Whispering Bow
4682: T4_2H_LONGBOW_UNDEAD@1                                           : Adept's Whispering Bow
4683: T4_2H_LONGBOW_UNDEAD@2                                           : Adept's Whispering Bow
4684: T4_2H_LONGBOW_UNDEAD@3                                           : Adept's Whispering Bow
4685: T5_2H_LONGBOW_UNDEAD                                             : Expert's Whispering Bow
4686: T5_2H_LONGBOW_UNDEAD@1                                           : Expert's Whispering Bow
4687: T5_2H_LONGBOW_UNDEAD@2                                           : Expert's Whispering Bow
4688: T5_2H_LONGBOW_UNDEAD@3                                           : Expert's Whispering Bow
4689: T6_2H_LONGBOW_UNDEAD                                             : Master's Whispering Bow
4690: T6_2H_LONGBOW_UNDEAD@1                                           : Master's Whispering Bow
4691: T6_2H_LONGBOW_UNDEAD@2                                           : Master's Whispering Bow
4692: T6_2H_LONGBOW_UNDEAD@3                                           : Master's Whispering Bow
4693: T7_2H_LONGBOW_UNDEAD                                             : Grandmaster's Whispering Bow
4694: T7_2H_LONGBOW_UNDEAD@1                                           : Grandmaster's Whispering Bow
4695: T7_2H_LONGBOW_UNDEAD@2                                           : Grandmaster's Whispering Bow
4696: T7_2H_LONGBOW_UNDEAD@3                                           : Grandmaster's Whispering Bow
4697: T8_2H_LONGBOW_UNDEAD                                             : Elder's Whispering Bow
4698: T8_2H_LONGBOW_UNDEAD@1                                           : Elder's Whispering Bow
4699: T8_2H_LONGBOW_UNDEAD@2                                           : Elder's Whispering Bow
4700: T8_2H_LONGBOW_UNDEAD@3                                           : Elder's Whispering Bow
4701: T4_2H_BOW_HELL                                                   : Adept's Wailing Bow
4702: T4_2H_BOW_HELL@1                                                 : Adept's Wailing Bow
4703: T4_2H_BOW_HELL@2                                                 : Adept's Wailing Bow
4704: T4_2H_BOW_HELL@3                                                 : Adept's Wailing Bow
4705: T5_2H_BOW_HELL                                                   : Expert's Wailing Bow
4706: T5_2H_BOW_HELL@1                                                 : Expert's Wailing Bow
4707: T5_2H_BOW_HELL@2                                                 : Expert's Wailing Bow
4708: T5_2H_BOW_HELL@3                                                 : Expert's Wailing Bow
4709: T6_2H_BOW_HELL                                                   : Master's Wailing Bow
4710: T6_2H_BOW_HELL@1                                                 : Master's Wailing Bow
4711: T6_2H_BOW_HELL@2                                                 : Master's Wailing Bow
4712: T6_2H_BOW_HELL@3                                                 : Master's Wailing Bow
4713: T7_2H_BOW_HELL                                                   : Grandmaster's Wailing Bow
4714: T7_2H_BOW_HELL@1                                                 : Grandmaster's Wailing Bow
4715: T7_2H_BOW_HELL@2                                                 : Grandmaster's Wailing Bow
4716: T7_2H_BOW_HELL@3                                                 : Grandmaster's Wailing Bow
4717: T8_2H_BOW_HELL                                                   : Elder's Wailing Bow
4718: T8_2H_BOW_HELL@1                                                 : Elder's Wailing Bow
4719: T8_2H_BOW_HELL@2                                                 : Elder's Wailing Bow
4720: T8_2H_BOW_HELL@3                                                 : Elder's Wailing Bow
4721: T4_2H_BOW_KEEPER                                                 : Adept's Bow of Badon
4722: T4_2H_BOW_KEEPER@1                                               : Adept's Bow of Badon
4723: T4_2H_BOW_KEEPER@2                                               : Adept's Bow of Badon
4724: T4_2H_BOW_KEEPER@3                                               : Adept's Bow of Badon
4725: T5_2H_BOW_KEEPER                                                 : Expert's Bow of Badon
4726: T5_2H_BOW_KEEPER@1                                               : Expert's Bow of Badon
4727: T5_2H_BOW_KEEPER@2                                               : Expert's Bow of Badon
4728: T5_2H_BOW_KEEPER@3                                               : Expert's Bow of Badon
4729: T6_2H_BOW_KEEPER                                                 : Master's Bow of Badon
4730: T6_2H_BOW_KEEPER@1                                               : Master's Bow of Badon
4731: T6_2H_BOW_KEEPER@2                                               : Master's Bow of Badon
4732: T6_2H_BOW_KEEPER@3                                               : Master's Bow of Badon
4733: T7_2H_BOW_KEEPER                                                 : Grandmaster's Bow of Badon
4734: T7_2H_BOW_KEEPER@1                                               : Grandmaster's Bow of Badon
4735: T7_2H_BOW_KEEPER@2                                               : Grandmaster's Bow of Badon
4736: T7_2H_BOW_KEEPER@3                                               : Grandmaster's Bow of Badon
4737: T8_2H_BOW_KEEPER                                                 : Elder's Bow of Badon
4738: T8_2H_BOW_KEEPER@1                                               : Elder's Bow of Badon
4739: T8_2H_BOW_KEEPER@2                                               : Elder's Bow of Badon
4740: T8_2H_BOW_KEEPER@3                                               : Elder's Bow of Badon
4741: T4_2H_BOW_AVALON                                                 : Adept's Mistpiercer
4742: T4_2H_BOW_AVALON@1                                               : Adept's Mistpiercer
4743: T4_2H_BOW_AVALON@2                                               : Adept's Mistpiercer
4744: T4_2H_BOW_AVALON@3                                               : Adept's Mistpiercer
4745: T5_2H_BOW_AVALON                                                 : Expert's Mistpiercer
4746: T5_2H_BOW_AVALON@1                                               : Expert's Mistpiercer
4747: T5_2H_BOW_AVALON@2                                               : Expert's Mistpiercer
4748: T5_2H_BOW_AVALON@3                                               : Expert's Mistpiercer
4749: T6_2H_BOW_AVALON                                                 : Master's Mistpiercer
4750: T6_2H_BOW_AVALON@1                                               : Master's Mistpiercer
4751: T6_2H_BOW_AVALON@2                                               : Master's Mistpiercer
4752: T6_2H_BOW_AVALON@3                                               : Master's Mistpiercer
4753: T7_2H_BOW_AVALON                                                 : Grandmaster's Mistpiercer
4754: T7_2H_BOW_AVALON@1                                               : Grandmaster's Mistpiercer
4755: T7_2H_BOW_AVALON@2                                               : Grandmaster's Mistpiercer
4756: T7_2H_BOW_AVALON@3                                               : Grandmaster's Mistpiercer
4757: T8_2H_BOW_AVALON                                                 : Elder's Mistpiercer
4758: T8_2H_BOW_AVALON@1                                               : Elder's Mistpiercer
4759: T8_2H_BOW_AVALON@2                                               : Elder's Mistpiercer
4760: T8_2H_BOW_AVALON@3                                               : Elder's Mistpiercer
4761: T3_2H_CROSSBOW                                                   : Journeyman's Crossbow
4762: T4_2H_CROSSBOW                                                   : Adept's Crossbow
4763: T4_2H_CROSSBOW@1                                                 : Adept's Crossbow
4764: T4_2H_CROSSBOW@2                                                 : Adept's Crossbow
4765: T4_2H_CROSSBOW@3                                                 : Adept's Crossbow
4766: T5_2H_CROSSBOW                                                   : Expert's Crossbow
4767: T5_2H_CROSSBOW@1                                                 : Expert's Crossbow
4768: T5_2H_CROSSBOW@2                                                 : Expert's Crossbow
4769: T5_2H_CROSSBOW@3                                                 : Expert's Crossbow
4770: T6_2H_CROSSBOW                                                   : Master's Crossbow
4771: T6_2H_CROSSBOW@1                                                 : Master's Crossbow
4772: T6_2H_CROSSBOW@2                                                 : Master's Crossbow
4773: T6_2H_CROSSBOW@3                                                 : Master's Crossbow
4774: T7_2H_CROSSBOW                                                   : Grandmaster's Crossbow
4775: T7_2H_CROSSBOW@1                                                 : Grandmaster's Crossbow
4776: T7_2H_CROSSBOW@2                                                 : Grandmaster's Crossbow
4777: T7_2H_CROSSBOW@3                                                 : Grandmaster's Crossbow
4778: T8_2H_CROSSBOW                                                   : Elder's Crossbow
4779: T8_2H_CROSSBOW@1                                                 : Elder's Crossbow
4780: T8_2H_CROSSBOW@2                                                 : Elder's Crossbow
4781: T8_2H_CROSSBOW@3                                                 : Elder's Crossbow
4782: T4_2H_CROSSBOWLARGE                                              : Adept's Heavy Crossbow
4783: T4_2H_CROSSBOWLARGE@1                                            : Adept's Heavy Crossbow
4784: T4_2H_CROSSBOWLARGE@2                                            : Adept's Heavy Crossbow
4785: T4_2H_CROSSBOWLARGE@3                                            : Adept's Heavy Crossbow
4786: T5_2H_CROSSBOWLARGE                                              : Expert's Heavy Crossbow
4787: T5_2H_CROSSBOWLARGE@1                                            : Expert's Heavy Crossbow
4788: T5_2H_CROSSBOWLARGE@2                                            : Expert's Heavy Crossbow
4789: T5_2H_CROSSBOWLARGE@3                                            : Expert's Heavy Crossbow
4790: T6_2H_CROSSBOWLARGE                                              : Master's Heavy Crossbow
4791: T6_2H_CROSSBOWLARGE@1                                            : Master's Heavy Crossbow
4792: T6_2H_CROSSBOWLARGE@2                                            : Master's Heavy Crossbow
4793: T6_2H_CROSSBOWLARGE@3                                            : Master's Heavy Crossbow
4794: T7_2H_CROSSBOWLARGE                                              : Grandmaster's Heavy Crossbow
4795: T7_2H_CROSSBOWLARGE@1                                            : Grandmaster's Heavy Crossbow
4796: T7_2H_CROSSBOWLARGE@2                                            : Grandmaster's Heavy Crossbow
4797: T7_2H_CROSSBOWLARGE@3                                            : Grandmaster's Heavy Crossbow
4798: T8_2H_CROSSBOWLARGE                                              : Elder's Heavy Crossbow
4799: T8_2H_CROSSBOWLARGE@1                                            : Elder's Heavy Crossbow
4800: T8_2H_CROSSBOWLARGE@2                                            : Elder's Heavy Crossbow
4801: T8_2H_CROSSBOWLARGE@3                                            : Elder's Heavy Crossbow
4802: T4_MAIN_1HCROSSBOW                                               : Adept's Light Crossbow
4803: T4_MAIN_1HCROSSBOW@1                                             : Adept's Light Crossbow
4804: T4_MAIN_1HCROSSBOW@2                                             : Adept's Light Crossbow
4805: T4_MAIN_1HCROSSBOW@3                                             : Adept's Light Crossbow
4806: T5_MAIN_1HCROSSBOW                                               : Expert's Light Crossbow
4807: T5_MAIN_1HCROSSBOW@1                                             : Expert's Light Crossbow
4808: T5_MAIN_1HCROSSBOW@2                                             : Expert's Light Crossbow
4809: T5_MAIN_1HCROSSBOW@3                                             : Expert's Light Crossbow
4810: T6_MAIN_1HCROSSBOW                                               : Master's Light Crossbow
4811: T6_MAIN_1HCROSSBOW@1                                             : Master's Light Crossbow
4812: T6_MAIN_1HCROSSBOW@2                                             : Master's Light Crossbow
4813: T6_MAIN_1HCROSSBOW@3                                             : Master's Light Crossbow
4814: T7_MAIN_1HCROSSBOW                                               : Grandmaster's Light Crossbow
4815: T7_MAIN_1HCROSSBOW@1                                             : Grandmaster's Light Crossbow
4816: T7_MAIN_1HCROSSBOW@2                                             : Grandmaster's Light Crossbow
4817: T7_MAIN_1HCROSSBOW@3                                             : Grandmaster's Light Crossbow
4818: T8_MAIN_1HCROSSBOW                                               : Elder's Light Crossbow
4819: T8_MAIN_1HCROSSBOW@1                                             : Elder's Light Crossbow
4820: T8_MAIN_1HCROSSBOW@2                                             : Elder's Light Crossbow
4821: T8_MAIN_1HCROSSBOW@3                                             : Elder's Light Crossbow
4822: T4_2H_REPEATINGCROSSBOW_UNDEAD                                   : Adept's Weeping Repeater
4823: T4_2H_REPEATINGCROSSBOW_UNDEAD@1                                 : Adept's Weeping Repeater
4824: T4_2H_REPEATINGCROSSBOW_UNDEAD@2                                 : Adept's Weeping Repeater
4825: T4_2H_REPEATINGCROSSBOW_UNDEAD@3                                 : Adept's Weeping Repeater
4826: T5_2H_REPEATINGCROSSBOW_UNDEAD                                   : Expert's Weeping Repeater
4827: T5_2H_REPEATINGCROSSBOW_UNDEAD@1                                 : Expert's Weeping Repeater
4828: T5_2H_REPEATINGCROSSBOW_UNDEAD@2                                 : Expert's Weeping Repeater
4829: T5_2H_REPEATINGCROSSBOW_UNDEAD@3                                 : Expert's Weeping Repeater
4830: T6_2H_REPEATINGCROSSBOW_UNDEAD                                   : Master's Weeping Repeater
4831: T6_2H_REPEATINGCROSSBOW_UNDEAD@1                                 : Master's Weeping Repeater
4832: T6_2H_REPEATINGCROSSBOW_UNDEAD@2                                 : Master's Weeping Repeater
4833: T6_2H_REPEATINGCROSSBOW_UNDEAD@3                                 : Master's Weeping Repeater
4834: T7_2H_REPEATINGCROSSBOW_UNDEAD                                   : Grandmaster's Weeping Repeater
4835: T7_2H_REPEATINGCROSSBOW_UNDEAD@1                                 : Grandmaster's Weeping Repeater
4836: T7_2H_REPEATINGCROSSBOW_UNDEAD@2                                 : Grandmaster's Weeping Repeater
4837: T7_2H_REPEATINGCROSSBOW_UNDEAD@3                                 : Grandmaster's Weeping Repeater
4838: T8_2H_REPEATINGCROSSBOW_UNDEAD                                   : Elder's Weeping Repeater
4839: T8_2H_REPEATINGCROSSBOW_UNDEAD@1                                 : Elder's Weeping Repeater
4840: T8_2H_REPEATINGCROSSBOW_UNDEAD@2                                 : Elder's Weeping Repeater
4841: T8_2H_REPEATINGCROSSBOW_UNDEAD@3                                 : Elder's Weeping Repeater
4842: T4_2H_DUALCROSSBOW_HELL                                          : Adept's Boltcasters
4843: T4_2H_DUALCROSSBOW_HELL@1                                        : Adept's Boltcasters
4844: T4_2H_DUALCROSSBOW_HELL@2                                        : Adept's Boltcasters
4845: T4_2H_DUALCROSSBOW_HELL@3                                        : Adept's Boltcasters
4846: T5_2H_DUALCROSSBOW_HELL                                          : Expert's Boltcasters
4847: T5_2H_DUALCROSSBOW_HELL@1                                        : Expert's Boltcasters
4848: T5_2H_DUALCROSSBOW_HELL@2                                        : Expert's Boltcasters
4849: T5_2H_DUALCROSSBOW_HELL@3                                        : Expert's Boltcasters
4850: T6_2H_DUALCROSSBOW_HELL                                          : Master's Boltcasters
4851: T6_2H_DUALCROSSBOW_HELL@1                                        : Master's Boltcasters
4852: T6_2H_DUALCROSSBOW_HELL@2                                        : Master's Boltcasters
4853: T6_2H_DUALCROSSBOW_HELL@3                                        : Master's Boltcasters
4854: T7_2H_DUALCROSSBOW_HELL                                          : Grandmaster's Boltcasters
4855: T7_2H_DUALCROSSBOW_HELL@1                                        : Grandmaster's Boltcasters
4856: T7_2H_DUALCROSSBOW_HELL@2                                        : Grandmaster's Boltcasters
4857: T7_2H_DUALCROSSBOW_HELL@3                                        : Grandmaster's Boltcasters
4858: T8_2H_DUALCROSSBOW_HELL                                          : Elder's Boltcasters
4859: T8_2H_DUALCROSSBOW_HELL@1                                        : Elder's Boltcasters
4860: T8_2H_DUALCROSSBOW_HELL@2                                        : Elder's Boltcasters
4861: T8_2H_DUALCROSSBOW_HELL@3                                        : Elder's Boltcasters
4862: T4_2H_CROSSBOWLARGE_MORGANA                                      : Adept's Siegebow
4863: T4_2H_CROSSBOWLARGE_MORGANA@1                                    : Adept's Siegebow
4864: T4_2H_CROSSBOWLARGE_MORGANA@2                                    : Adept's Siegebow
4865: T4_2H_CROSSBOWLARGE_MORGANA@3                                    : Adept's Siegebow
4866: T5_2H_CROSSBOWLARGE_MORGANA                                      : Expert's Siegebow
4867: T5_2H_CROSSBOWLARGE_MORGANA@1                                    : Expert's Siegebow
4868: T5_2H_CROSSBOWLARGE_MORGANA@2                                    : Expert's Siegebow
4869: T5_2H_CROSSBOWLARGE_MORGANA@3                                    : Expert's Siegebow
4870: T6_2H_CROSSBOWLARGE_MORGANA                                      : Master's Siegebow
4871: T6_2H_CROSSBOWLARGE_MORGANA@1                                    : Master's Siegebow
4872: T6_2H_CROSSBOWLARGE_MORGANA@2                                    : Master's Siegebow
4873: T6_2H_CROSSBOWLARGE_MORGANA@3                                    : Master's Siegebow
4874: T7_2H_CROSSBOWLARGE_MORGANA                                      : Grandmaster's Siegebow
4875: T7_2H_CROSSBOWLARGE_MORGANA@1                                    : Grandmaster's Siegebow
4876: T7_2H_CROSSBOWLARGE_MORGANA@2                                    : Grandmaster's Siegebow
4877: T7_2H_CROSSBOWLARGE_MORGANA@3                                    : Grandmaster's Siegebow
4878: T8_2H_CROSSBOWLARGE_MORGANA                                      : Elder's Siegebow
4879: T8_2H_CROSSBOWLARGE_MORGANA@1                                    : Elder's Siegebow
4880: T8_2H_CROSSBOWLARGE_MORGANA@2                                    : Elder's Siegebow
4881: T8_2H_CROSSBOWLARGE_MORGANA@3                                    : Elder's Siegebow
4882: T4_2H_CROSSBOW_CANNON_AVALON                                     : Adept's Energy Shaper
4883: T4_2H_CROSSBOW_CANNON_AVALON@1                                   : Adept's Energy Shaper
4884: T4_2H_CROSSBOW_CANNON_AVALON@2                                   : Adept's Energy Shaper
4885: T4_2H_CROSSBOW_CANNON_AVALON@3                                   : Adept's Energy Shaper
4886: T5_2H_CROSSBOW_CANNON_AVALON                                     : Expert's Energy Shaper
4887: T5_2H_CROSSBOW_CANNON_AVALON@1                                   : Expert's Energy Shaper
4888: T5_2H_CROSSBOW_CANNON_AVALON@2                                   : Expert's Energy Shaper
4889: T5_2H_CROSSBOW_CANNON_AVALON@3                                   : Expert's Energy Shaper
4890: T6_2H_CROSSBOW_CANNON_AVALON                                     : Master's Energy Shaper
